iter	RMSE
0	0.5529302781
1	0.5363912835
2	0.520860781
3	0.5060868444
4	0.4918961119
5	0.4798510768
6	0.4677609719
7	0.4567187979
8	0.4462508248
9	0.4362245476
10	0.4270725891
11	0.4182424546
12	0.4096280261
13	0.4022218852
14	0.3949435567
15	0.3885444369
16	0.3826676219
17	0.3772647192
18	0.3720988249
19	0.3674360534
20	0.3629953022
21	0.3587874113
22	0.3550409321
23	0.3514358641
24	0.3478880212
25	0.3444987639
26	0.341613867
27	0.3386242388
28	0.3358727138
29	0.3334381431
30	0.3308358189
31	0.3286035542
32	0.3267259667
33	0.3245668522
34	0.3223975763
35	0.3206267737
36	0.319079764
37	0.3175927816
38	0.316147215
39	0.3144452903
40	0.3129279079
41	0.3113471534
42	0.3104029602
43	0.3093373799
44	0.3080342203
45	0.3068240403
46	0.3058338417
47	0.3048662991
48	0.3040362169
49	0.3031198768
50	0.3022957529
51	0.3015081769
52	0.3006802492
53	0.2993701076
54	0.2984401286
55	0.2978212831
56	0.2970150568
57	0.2963490685
58	0.295571258
59	0.294996194
60	0.2943330174
61	0.2936673646
62	0.2931666286
63	0.2924931525
64	0.291956889
65	0.2913305388
66	0.2910001046
67	0.2904847813
68	0.2896081033
69	0.2892347273
70	0.2885428659
71	0.2882300566
72	0.2874462953
73	0.2868101072
74	0.2863962464
75	0.2857732889
76	0.2851233404
77	0.2845570399
78	0.284225836
79	0.2837652401
80	0.2833287235
81	0.282985422
82	0.2824259454
83	0.2819721134
84	0.2811072265
85	0.280676155
86	0.2803252549
87	0.2796769449
88	0.2792889559
89	0.2790144029
90	0.278597578
91	0.2781906883
92	0.2776336275
93	0.2772941053
94	0.2769434306
95	0.2767400395
96	0.2764926089
97	0.2760187068
98	0.2755737737
99	0.2752821488
100	0.2749384943
101	0.2745122462
102	0.2742473841
103	0.2737396809
104	0.2734288312
105	0.2731376341
106	0.2728059161
107	0.2726089018
108	0.2718510368
109	0.2714411958
110	0.2710760084
111	0.2708051058
112	0.2704692835
113	0.270183636
114	0.2696442766
115	0.2691432055
116	0.2688402708
117	0.2685200694
118	0.2680092809
119	0.2676919149
120	0.2674105432
121	0.2671961556
122	0.2669953798
123	0.2667244246
124	0.2662389375
125	0.266019326
126	0.2656028863
