iter	Passed	Remaining
0	139	69514
1	141	35246
2	143	23848
3	146	18170
4	148	14731
5	150	12431
6	153	10788
7	155	9559
8	157	8603
9	159	7836
10	162	7216
11	164	6688
12	166	6246
13	168	5863
14	171	5533
15	173	5241
16	175	4988
17	177	4762
18	179	4555
19	182	4371
20	184	4202
21	186	4047
22	188	3908
23	190	3786
24	193	3667
25	195	3557
26	197	3455
27	199	3361
28	201	3273
29	203	3190
30	206	3122
31	208	3053
32	211	2986
33	213	2925
34	215	2865
35	217	2808
36	220	2759
37	222	2709
38	225	2661
39	227	2617
40	230	2578
41	232	2537
42	235	2498
43	237	2461
44	239	2426
45	242	2391
46	244	2357
47	246	2324
48	249	2294
49	251	2264
50	253	2235
51	256	2206
52	258	2179
53	260	2153
54	263	2128
55	265	2104
56	267	2082
57	270	2059
58	272	2036
59	274	2015
60	277	1994
61	279	1975
62	281	1955
63	284	1935
64	286	1917
65	288	1899
66	291	1881
67	293	1864
68	295	1848
69	298	1832
70	300	1817
71	303	1802
72	305	1788
73	308	1777
74	311	1764
75	313	1750
76	316	1737
77	318	1723
78	320	1710
79	323	1697
80	325	1684
81	327	1671
82	330	1658
83	332	1645
84	334	1634
85	337	1622
86	339	1611
87	341	1599
88	344	1588
89	346	1577
90	348	1566
91	350	1556
92	353	1546
93	355	1536
94	358	1526
95	360	1516
96	362	1506
97	364	1497
98	367	1488
99	369	1478
100	371	1468
101	373	1459
102	376	1449
103	378	1439
104	380	1429
105	383	1423
106	385	1415
107	388	1408
108	390	1401
109	392	1393
110	395	1384
111	397	1377
112	399	1369
113	401	1360
114	403	1352
115	406	1344
116	408	1336
117	410	1327
118	412	1322
119	415	1315
120	417	1307
121	419	1300
122	421	1293
123	424	1285
124	426	1279
125	428	1272
126	430	1265
127	432	1257
128	434	1250
129	437	1244
130	439	1237
131	441	1230
132	443	1224
133	445	1217
134	447	1210
135	450	1204
136	452	1197
137	454	1191
138	456	1185
139	458	1179
140	460	1173
141	463	1167
142	465	1161
143	467	1155
144	469	1149
145	471	1143
146	473	1138
147	475	1132
148	478	1126
149	480	1120
150	482	1114
151	484	1108
152	486	1103
153	488	1098
154	491	1092
155	492	1087
156	495	1081
157	497	1075
158	499	1070
159	501	1065
160	503	1061
161	506	1056
162	508	1051
163	510	1045
164	512	1040
165	514	1035
166	517	1030
167	519	1026
168	521	1021
169	523	1016
